Finding,DS-005 TEST,DS-006 TEST,Interpretation
Cross-seed ARI,0.36063359895421676,0.35413370739518973,REPLICATED
Speed eta²,0.4818949132351714,0.4294009062211387,REPLICATED
Speed-only BA,0.21702409358849845,0.2751096696024891,REPLICATED
Identity V,0.1808253035238447,0.18349446219525214,REPLICATED
Context V,0.1199203604028444,0.1454247927069594,REPLICATED
Baseline–SSL ARI,0.0198316766141574,0.03822972919287916,REPLICATED
Nonlinear probe BA,0.9035733828795063,0.4279697608767867,NOT STRONGLY REPLICATED
