recording_id,well,condition_code,condition_label
Catamaran_pH_1a_t1b,11,0,exploratory
Catamaran_pH_1a_t1b,12,0,exploratory
Catamaran_pH_1a_t2a,1,0,exploratory
Catamaran_pH_1a_t2a,2,0,exploratory
Catamaran_pH_1a_t2a,3,0,exploratory
Catamaran_pH_1a_t2a,4,3,double_sharp_pH
Catamaran_pH_1a_t2a,5,3,double_sharp_pH
Catamaran_pH_1a_t2a,6,3,double_sharp_pH
Catamaran_pH_1a_t2a,7,3,double_sharp_pH
Catamaran_pH_1a_t2a,8,3,double_sharp_pH
Catamaran_pH_1a_t2a,9,3,double_sharp_pH
Catamaran_pH_1a_t2a,10,0,exploratory
Catamaran_pH_1a_t2a,11,0,exploratory
Catamaran_pH_1a_t2a,12,0,exploratory
Catamaran_pH_1a_t2b,1,0,exploratory
Catamaran_pH_1a_t2b,2,0,exploratory
Catamaran_pH_1a_t2b,3,0,exploratory
Catamaran_pH_1a_t2b,4,3,double_sharp_pH
Catamaran_pH_1a_t2b,5,3,double_sharp_pH
Catamaran_pH_1a_t2b,6,3,double_sharp_pH
Catamaran_pH_1a_t2b,7,3,double_sharp_pH
Catamaran_pH_1a_t2b,8,3,double_sharp_pH
Catamaran_pH_1a_t2b,9,3,double_sharp_pH
Catamaran_pH_1a_t2b,10,0,exploratory
Catamaran_pH_1a_t2b,11,0,exploratory
Catamaran_pH_1a_t2b,12,0,exploratory
Catamaran_pH_1a_t3a,1,0,exploratory
Catamaran_pH_1a_t3a,2,0,exploratory
Catamaran_pH_1a_t3a,3,0,exploratory
Catamaran_pH_1a_t3a,4,3,double_sharp_pH
Catamaran_pH_1a_t3a,5,3,double_sharp_pH
Catamaran_pH_1a_t3a,6,3,double_sharp_pH
Catamaran_pH_1a_t3a,7,3,double_sharp_pH
Catamaran_pH_1a_t3a,8,3,double_sharp_pH
Catamaran_pH_1a_t3a,9,3,double_sharp_pH
Catamaran_pH_1a_t3a,10,0,exploratory
Catamaran_pH_1a_t3a,11,0,exploratory
Catamaran_pH_1a_t3a,12,0,exploratory
Catamaran_pH_1a_t4a,1,0,exploratory
Catamaran_pH_1a_t4a,2,0,exploratory
Catamaran_pH_1a_t4a,3,0,exploratory
Catamaran_pH_1a_t4a,4,3,double_sharp_pH
Catamaran_pH_1a_t4a,5,3,double_sharp_pH
Catamaran_pH_1a_t4a,6,3,double_sharp_pH
