sample_index,fish_id,bout_index,partition,view_a_changed_elements,view_a_changed_element_fraction,view_a_changed_timesteps,view_a_changed_timestep_fraction,view_a_mean_abs_change,view_a_max_abs_change,view_a_finite,view_a_shape_ok,view_b_changed_elements,view_b_changed_element_fraction,view_b_changed_timesteps,view_b_changed_timestep_fraction,view_b_mean_abs_change,view_b_max_abs_change,view_b_finite,view_b_shape_ok,views_equal
0,DS005-JM-F001,0,train,42,0.08,14,0.08,0.1077117845416069,3.992722749710083,True,True,9,0.017142857142857144,3,0.017142857142857144,0.02409237064421177,3.2217915058135986,True,True,False
1,DS005-JM-F001,1,train,3,0.005714285714285714,1,0.005714285714285714,0.0031219639349728823,0.8309756517410278,True,True,32,0.06095238095238095,16,0.09142857142857143,0.051230430603027344,1.0,True,True,False
2,DS005-JM-F001,2,train,0,0.0,0,0.0,0.0,0.0,True,True,9,0.017142857142857144,3,0.017142857142857144,0.008784173056483269,0.7808895111083984,True,True,False
3,DS005-JM-F001,3,train,0,0.0,0,0.0,0.0,0.0,True,True,42,0.08,14,0.08,0.04637698084115982,0.8470702171325684,True,True,False
4,DS005-JM-F001,4,train,9,0.017142857142857144,3,0.017142857142857144,0.009789206087589264,0.8575602769851685,True,True,24,0.045714285714285714,8,0.045714285714285714,0.022233273833990097,0.8564118146896362,True,True,False
5,DS005-JM-F001,5,train,15,0.02857142857142857,5,0.02857142857142857,0.014703580178320408,0.861798107624054,True,True,12,0.022857142857142857,6,0.03428571428571429,0.019211411476135254,1.0,True,True,False
6,DS005-JM-F001,6,train,0,0.0,0,0.0,0.0,0.0,True,True,45,0.08571428571428572,15,0.08571428571428572,0.045049037784338,0.8434479236602783,True,True,False
7,DS005-JM-F001,7,train,12,0.022857142857142857,4,0.022857142857142857,0.014978406950831413,0.9040625095367432,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
8,DS005-JM-F001,8,train,33,0.06285714285714286,11,0.06285714285714286,0.05756988376379013,1.9192314147949219,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
9,DS005-JM-F001,9,train,30,0.05714285714285714,10,0.05714285714285714,0.02891363576054573,0.9417349696159363,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
10,DS005-JM-F001,10,train,51,0.09714285714285714,17,0.09714285714285714,0.06191828474402428,1.1074177026748657,True,True,51,0.09714285714285714,17,0.09714285714285714,0.06148580461740494,1.1074177026748657,True,True,False
11,DS005-JM-F001,11,train,26,0.049523809523809526,13,0.07428571428571429,0.041624728590250015,1.0,True,True,15,0.02857142857142857,5,0.02857142857142857,0.02002394199371338,1.4055004119873047,True,True,False
12,DS005-JM-F001,12,train,3,0.005714285714285714,1,0.005714285714285714,0.006119944620877504,2.0453648567199707,True,True,27,0.05142857142857143,9,0.05142857142857143,0.04603114351630211,2.184116840362549,True,True,False
13,DS005-JM-F001,13,train,39,0.07428571428571429,13,0.07428571428571429,0.05997471511363983,1.7937644720077515,True,True,24,0.045714285714285714,8,0.045714285714285714,0.018183618783950806,0.9971483945846558,True,True,False
14,DS005-JM-F001,14,train,0,0.0,0,0.0,0.0,0.0,True,True,2,0.0038095238095238095,1,0.005714285714285714,0.003201901912689209,1.0,True,True,False
15,DS005-JM-F001,15,train,0,0.0,0,0.0,0.0,0.0,True,True,18,0.03428571428571429,9,0.05142857142857143,0.02881711721420288,1.0,True,True,False
16,DS005-JM-F001,16,train,16,0.030476190476190476,8,0.045714285714285714,0.025615215301513672,1.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
17,DS005-JM-F001,17,train,48,0.09142857142857143,16,0.09142857142857143,0.059001460671424866,0.8624647259712219,True,True,36,0.06857142857142857,12,0.06857142857142857,0.04325263574719429,0.7510855793952942,True,True,False
18,DS005-JM-F001,18,train,0,0.0,0,0.0,0.0,0.0,True,True,30,0.05714285714285714,10,0.05714285714285714,0.038901735097169876,0.7584311962127686,True,True,False
19,DS005-JM-F001,19,train,20,0.0380952380952381,10,0.05714285714285714,0.03201902285218239,1.0,True,True,15,0.02857142857142857,5,0.02857142857142857,0.018676377832889557,1.0744953155517578,True,True,False
20,DS005-JM-F001,20,train,9,0.017142857142857144,3,0.017142857142857144,0.024310249835252762,3.1121723651885986,True,True,3,0.005714285714285714,1,0.005714285714285714,0.004390018060803413,0.92170649766922,True,True,False
21,DS005-JM-F001,21,train,36,0.06857142857142857,12,0.06857142857142857,0.04038402438163757,0.8224949836730957,True,True,45,0.08571428571428572,15,0.08571428571428572,0.0517008900642395,0.817295253276825,True,True,False
22,DS005-JM-F001,22,train,0,0.0,0,0.0,0.0,0.0,True,True,40,0.0761904761904762,16,0.09142857142857143,0.05357368662953377,1.0,True,True,False
23,DS005-JM-F001,23,train,33,0.06285714285714286,11,0.06285714285714286,0.035786233842372894,0.7575165033340454,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
24,DS005-JM-F001,24,train,0,0.0,0,0.0,0.0,0.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,True
25,DS005-JM-F001,25,train,6,0.011428571428571429,3,0.017142857142857144,0.009605705738067627,1.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
26,DS005-JM-F001,26,train,12,0.022857142857142857,6,0.03428571428571429,0.019211411476135254,1.0,True,True,16,0.030476190476190476,8,0.045714285714285714,0.025615215301513672,1.0,True,True,False
27,DS005-JM-F001,27,train,3,0.005714285714285714,1,0.005714285714285714,0.0022704200819134712,0.9902212023735046,True,True,24,0.045714285714285714,12,0.06857142857142857,0.03842282295227051,1.0,True,True,False
28,DS005-JM-F001,28,train,33,0.06285714285714286,11,0.06285714285714286,0.08404283970594406,4.241532325744629,True,True,30,0.05714285714285714,15,0.08571428571428572,0.048028528690338135,1.0,True,True,False
29,DS005-JM-F001,29,train,30,0.05714285714285714,10,0.05714285714285714,0.0451953187584877,1.2377887964248657,True,True,48,0.09142857142857143,16,0.09142857142857143,0.04402551427483559,0.906993567943573,True,True,False
30,DS005-JM-F001,30,train,6,0.011428571428571429,2,0.011428571428571429,0.006752398330718279,0.8053123950958252,True,True,45,0.08571428571428572,15,0.08571428571428572,0.04654451459646225,0.8656238317489624,True,True,False
31,DS005-JM-F001,31,train,0,0.0,0,0.0,0.0,0.0,True,True,12,0.022857142857142857,4,0.022857142857142857,0.014922074042260647,0.7971227765083313,True,True,False
32,DS005-JM-F001,32,train,15,0.02857142857142857,5,0.02857142857142857,0.014555641449987888,0.7529754638671875,True,True,24,0.045714285714285714,8,0.045714285714285714,0.02541353553533554,0.7831308245658875,True,True,False
33,DS005-JM-F001,33,train,9,0.017142857142857144,3,0.017142857142857144,0.00873605813831091,0.7238122820854187,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
34,DS005-JM-F001,34,train,13,0.024761904761904763,6,0.03428571428571429,0.019747938960790634,1.0,True,True,48,0.09142857142857143,16,0.09142857142857143,0.05161258205771446,0.7408013343811035,True,True,False
35,DS005-JM-F001,35,train,27,0.05142857142857143,9,0.05142857142857143,0.0437571257352829,2.6075167655944824,True,True,3,0.005714285714285714,1,0.005714285714285714,0.0035696544218808413,0.8663312196731567,True,True,False
36,DS005-JM-F001,36,train,9,0.017142857142857144,3,0.017142857142857144,0.011125984601676464,0.8445248007774353,True,True,22,0.0419047619047619,11,0.06285714285714286,0.0352209210395813,1.0,True,True,False
